timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
141000,-9.55,-0.42,-1.56,0,0,1,142
141020,-9.44,-0.23,-1.36,0,0,1,142
141040,-9.49,0.01,-1.3,0,0,1,142
141060,-9.74,0.02,-1.53,0,0,1,142
141080,-9.61,-0.1,-1.77,0,0,1,142
141100,-9.6,-0.26,-1.65,0,0,1,142
141120,-9.52,0.11,-1.27,0,0,1,142
141140,-9.44,0.47,-0.79,0,0,1,142
141160,-9.53,-0.03,-1.21,0,0,1,142
141180,-9.72,-0.21,-1.36,0,0,1,142
141200,-9.58,-0.11,-1.07,0,0,1,142
141220,-9.45,-0.01,-0.92,0,0,1,142
141240,-9.37,-0.12,-0.94,0,0,1,142
141260,-9.47,-0.3,-1.21,0,0,1,142
141280,-9.53,-0.46,-1.44,0,0,1,142
141300,-9.53,-0.34,-1.33,0,0,1,142
141320,-9.47,-0.43,-1.23,0,0,1,142
141340,-9.4,-0.52,-1.17,0,0,1,142
141360,-9.4,-0.49,-1.2,0,0,1,142
141380,-9.48,-0.54,-1.22,0,0,1,142
141400,-9.56,-0.54,-1.34,0,0,1,142
141420,-9.62,-0.44,-1.33,0,0,1,142
141440,-9.6,-0.35,-1.31,0,0,1,142
141460,-9.56,-0.38,-1.32,0,0,1,142
141480,-9.49,-0.2,-1.14,0,0,1,142
141500,-9.41,-0.17,-1.02,0,0,1,142
141520,-9.47,-0.2,-1.04,0,0,1,142
141540,-9.64,-0.27,-1.37,0,0,1,142
141560,-9.68,-0.33,-1.68,0,0,1,142
141580,-9.56,-0.38,-1.47,0,0,1,142
141600,-9.5,-0.13,-1.11,0,0,1,142
141620,-9.46,-0.12,-0.91,0,0,1,142
141640,-9.53,-0.3,-0.94,0,0,1,142
141660,-9.61,-0.26,-1.02,0,0,1,142
141680,-9.64,-0.16,-0.96,0,0,1,142
141700,-9.52,-0.06,-0.81,0,0,1,142
141720,-9.48,-0.17,-0.94,0,0,1,142
141740,-9.49,-0.12,-1.03,0,0,1,142
141760,-9.6,-0.04,-1.05,0,0,1,142
141780,-9.62,0.03,-1.08,0,0,1,142
141800,-9.6,-0.09,-1.03,0,0,1,142
141820,-9.55,-0.32,-0.94,0,0,1,142
141840,-9.51,-0.34,-1.01,0,0,1,142
141860,-9.48,-0.13,-0.8,0,0,1,142
141880,-9.53,-0.04,-0.69,0,0,1,142
141900,-9.65,-0.06,-0.9,0,0,1,142
141920,-9.77,-0.13,-1.15,0,0,1,142
141940,-9.64,-0.35,-1.15,0,0,1,142
141960,-9.43,-0.38,-0.95,0,0,1,142
141980,-9.43,-0.18,-0.84,0,0,1,142
142000,-9.56,-0.04,-1.06,0,0,1,142
142020,-9.81,-0.25,-1.28,0,0,1,142
142040,-9.74,-0.52,-1.25,0,0,1,142
142060,-9.48,-0.47,-1.13,0,0,1,142
142080,-9.44,-0.28,-0.99,0,0,1,142
142100,-9.55,-0.12,-0.73,0,0,1,142
142120,-9.38,-0.42,-0.54,0,0,1,142
142140,-9.34,-0.55,-0.52,0,0,1,142
142160,-9.49,-0.44,-0.55,0,0,1,142
142180,-9.42,-0.41,-0.36,0,0,1,142
142200,-9.31,-0.34,-0.34,0,0,1,142
142220,-9.47,-0.25,-0.63,0,0,1,142
142240,-9.62,-0.15,-0.79,0,0,1,142
142260,-9.65,-0.15,-0.94,0,0,1,142
142280,-9.6,-0.09,-0.87,0,0,1,142
142300,-9.51,0.09,-0.58,0,0,1,142
142320,-9.52,-0.02,-0.58,0,0,1,142
142340,-9.66,0.01,-0.72,0,0,1,142
142360,-9.61,-0.11,-0.64,0,0,1,142
142380,-9.57,-0.21,-0.64,0,0,1,142
142400,-9.6,-0.27,-0.79,0,0,1,142
142420,-9.63,-0.16,-0.75,0,0,1,142
142440,-9.54,-0.18,-0.67,0,0,1,142
142460,-9.5,-0.23,-0.73,0,0,1,142
142480,-9.53,-0.21,-0.67,0,0,1,142
142500,-9.55,-0.15,-0.74,0,0,1,142
142520,-9.58,-0.12,-0.67,0,0,1,142
142540,-9.56,-0.26,-0.61,0,0,1,142
142560,-9.59,-0.08,-0.68,0,0,1,142
142580,-9.56,-0.07,-0.62,0,0,1,142
142600,-9.62,-0.1,-0.57,0,0,1,142
142620,-9.5,-0.08,-0.63,0,0,1,142
142640,-9.51,-0.05,-0.67,0,0,1,142
142660,-9.58,-0.05,-0.65,0,0,1,142
142680,-9.64,-0.05,-0.7,0,0,1,142
142700,-9.54,-0.1,-0.56,0,0,1,142
142720,-9.58,-0.11,-0.61,0,0,1,142
142740,-9.67,-0.09,-0.75,0,0,1,142
142760,-9.62,-0.23,-0.7,0,0,1,142
142780,-9.57,-0.1,-0.61,0,0,1,142
142800,-9.57,-0.03,-0.57,0,0,1,142
142820,-9.55,-0.03,-0.71,0,0,1,142
142840,-9.55,-0.05,-0.75,0,0,1,142
142860,-9.59,0.06,-0.67,0,0,1,142
142880,-9.52,0.03,-0.59,0,0,1,142
142900,-9.59,-0.04,-0.6,0,0,1,142
142920,-9.6,-0.08,-0.71,0,0,1,142
142940,-9.59,-0.1,-0.68,0,0,1,142
142960,-9.56,-0.05,-0.73,0,0,1,142
142980,-9.59,0.0,-0.7,0,0,1,142
