timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
100000,-9.09,-0.17,-4.81,0,0,1,101
100020,-9.7,0.74,-6.23,0,0,1,101
100040,-9.97,1.06,-6.76,0,0,1,101
100060,-8.31,1.48,-5.24,0,0,1,101
100080,-6.7,1.14,-4.96,0,0,1,101
100100,-6.9,0.11,-4.73,0,0,1,101
100120,-6.83,-0.42,-4.62,0,0,1,101
100140,-7.68,0.16,-5.0,0,0,1,101
100160,-8.48,1.84,-5.41,0,0,1,101
100180,-9.7,2.64,-6.29,0,0,1,101
100200,-10.42,3.04,-7.09,0,0,1,101
100220,-9.98,1.96,-7.63,0,0,1,101
100240,-9.2,1.36,-7.64,0,0,1,101
100260,-8.45,1.45,-6.5,0,0,1,101
100280,-7.62,1.57,-5.65,0,0,1,101
100300,-7.39,1.32,-5.49,0,0,1,101
100320,-7.19,0.89,-5.64,0,0,1,101
100340,-7.3,0.21,-5.98,0,0,1,101
100360,-7.06,-0.48,-6.07,0,0,1,101
100380,-7.19,-0.35,-5.65,0,0,1,101
100400,-7.53,0.29,-5.81,0,0,1,101
100420,-7.89,0.57,-6.18,0,0,1,101
100440,-7.63,1.38,-5.82,0,0,1,101
100460,-7.97,2.24,-4.72,0,0,1,101
100480,-9.65,2.33,-3.65,0,0,1,101
100500,-9.06,3.07,-3.57,0,0,1,101
100520,-9.27,3.95,-4.51,0,0,1,101
100540,-10.27,3.7,-6.2,0,0,1,101
100560,-11.63,1.22,-7.1,0,0,1,101
100580,-10.72,-0.45,-6.84,0,0,1,101
100600,-8.86,-1.16,-4.89,0,0,1,101
100620,-6.83,-1.24,-2.79,0,0,1,101
100640,-5.11,-1.47,-0.89,0,0,1,101
100660,-6.64,-0.53,-2.53,0,0,1,101
100680,-7.98,0.83,-4.13,0,0,1,101
100700,-8.43,2.71,-4.62,0,0,1,101
100720,-7.96,4.17,-4.17,0,0,1,101
100740,-7.35,4.06,-3.88,0,0,1,101
100760,-7.73,3.48,-3.5,0,0,1,101
100780,-8.84,3.46,-3.71,0,0,1,101
100800,-9.13,4.05,-3.81,0,0,1,101
100820,-9.23,4.82,-3.92,0,0,1,101
100840,-9.07,5.05,-3.79,0,0,1,101
100860,-8.61,4.86,-3.73,0,0,1,101
100880,-7.73,4.05,-3.08,0,0,1,101
100900,-7.56,3.22,-1.65,0,0,1,101
100920,-7.6,2.43,-2.04,0,0,1,101
100940,-7.7,1.83,-1.72,0,0,1,101
100960,-8.87,2.11,-2.51,0,0,1,101
100980,-8.76,1.64,-2.12,0,0,1,101
101000,-8.48,1.96,-2.74,0,0,1,101
101020,-8.77,1.66,-2.95,0,0,1,101
101040,-7.93,1.81,-2.71,0,0,1,101
101060,-8.29,2.06,-2.54,0,0,1,101
101080,-9.4,2.11,-3.43,0,0,1,101
101100,-11.52,2.68,-6.34,0,0,1,101
101120,-13.74,2.14,-9.74,0,0,1,101
101140,-10.99,2.39,-8.79,0,0,1,101
101160,-8.12,3.43,-3.99,0,0,1,101
101180,-4.99,5.98,-1.14,0,0,1,101
101200,-6.39,6.1,-0.47,0,0,1,101
101220,-8.18,3.46,-2.2,0,0,1,101
101240,-9.47,0.24,-5.59,0,0,1,101
101260,-8.55,-0.91,-6.07,0,0,1,101
101280,-7.16,0.77,-5.4,0,0,1,101
101300,-6.49,2.37,-4.8,0,0,1,101
101320,-6.5,2.22,-5.34,0,0,1,101
101340,-6.83,1.76,-6.44,0,0,1,101
101360,-7.23,1.62,-5.9,0,0,1,101
101380,-7.68,2.06,-5.61,0,0,1,101
101400,-8.37,3.13,-6.52,0,0,1,101
101420,-9.5,4.72,-7.23,0,0,1,101
101440,-9.76,5.83,-7.06,0,0,1,101
101460,-8.98,5.5,-5.92,0,0,1,101
101480,-7.83,4.26,-4.64,0,0,1,101
101500,-7.16,2.87,-4.42,0,0,1,101
101520,-7.09,2.09,-4.79,0,0,1,101
101540,-7.02,1.85,-5.16,0,0,1,101
101560,-7.16,1.9,-5.2,0,0,1,101
101580,-7.75,2.71,-5.58,0,0,1,101
101600,-7.0,3.12,-4.66,0,0,1,101
101620,-7.72,4.19,-5.14,0,0,1,101
101640,-7.22,4.77,-4.57,0,0,1,101
101660,-7.33,3.32,-3.63,0,0,1,101
101680,-8.72,4.16,-5.28,0,0,1,101
101700,-8.3,2.59,-5.77,0,0,1,101
101720,-8.59,1.72,-6.33,0,0,1,101
101740,-8.4,1.05,-4.17,0,0,1,101
101760,-8.02,1.1,-4.48,0,0,1,101
101780,-7.79,0.67,-4.87,0,0,1,101
101800,-7.27,2.52,-4.8,0,0,1,101
101820,-8.57,4.46,-6.66,0,0,1,101
101840,-10.94,5.03,-8.33,0,0,1,101
101860,-11.24,5.21,-6.72,0,0,1,101
101880,-9.52,3.5,-4.24,0,0,1,101
101900,-8.39,1.35,-3.92,0,0,1,101
101920,-7.76,0.37,-3.93,0,0,1,101
101940,-7.21,-0.37,-4.15,0,0,1,101
101960,-6.65,-0.67,-4.22,0,0,1,101
101980,-5.85,-0.71,-3.91,0,0,1,101
