timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
0,-8.18,-2.1,-4.91,0,0,1,1
20,-8.22,-2.12,-4.98,0,0,1,1
40,-8.18,-2.23,-5.02,0,0,1,1
60,-8.22,-2.22,-4.96,0,0,1,1
80,-8.17,-2.2,-4.92,0,0,1,1
100,-8.2,-2.28,-4.9,0,0,1,1
120,-8.19,-2.21,-4.95,0,0,1,1
140,-8.21,-2.21,-4.93,0,0,1,1
160,-8.23,-2.21,-4.93,0,0,1,1
180,-8.2,-2.21,-4.95,0,0,1,1
200,-8.15,-2.27,-4.94,0,0,1,1
220,-8.2,-2.23,-4.93,0,0,1,1
240,-8.17,-2.25,-4.94,0,0,1,1
260,-8.14,-2.22,-4.88,0,0,1,1
280,-8.17,-2.28,-4.9,0,0,1,1
300,-8.27,-2.23,-4.96,0,0,1,1
320,-8.28,-2.17,-4.82,0,0,1,1
340,-8.26,-2.22,-4.87,0,0,1,1
360,-8.25,-2.21,-4.82,0,0,1,1
380,-8.28,-2.07,-4.82,0,0,1,1
400,-8.32,-2.11,-4.84,0,0,1,1
420,-8.15,-2.21,-4.75,0,0,1,1
440,-8.13,-2.3,-4.7,0,0,1,1
460,-8.14,-2.42,-4.77,0,0,1,1
480,-8.17,-2.38,-4.88,0,0,1,1
500,-8.27,-2.28,-4.93,0,0,1,1
520,-8.22,-2.23,-4.93,0,0,1,1
540,-8.25,-2.1,-4.76,0,0,1,1
560,-8.37,-1.96,-4.89,0,0,1,1
580,-8.27,-2.05,-4.96,0,0,1,1
600,-8.19,-2.17,-4.88,0,0,1,1
620,-8.3,-1.97,-4.96,0,0,1,1
640,-8.41,-1.74,-5.02,0,0,1,1
660,-8.42,-1.61,-4.88,0,0,1,1
680,-8.38,-1.41,-4.92,0,0,1,1
700,-8.48,-1.48,-4.98,0,0,1,1
720,-8.32,-1.84,-4.91,0,0,1,1
740,-8.12,-2.22,-4.72,0,0,1,1
760,-8.11,-2.14,-4.79,0,0,1,1
780,-8.3,-1.74,-5.04,0,0,1,1
800,-8.52,-1.4,-5.02,0,0,1,1
820,-8.42,-1.4,-4.9,0,0,1,1
840,-8.27,-1.88,-4.84,0,0,1,1
860,-8.15,-2.22,-4.8,0,0,1,1
880,-8.1,-2.15,-4.85,0,0,1,1
900,-8.08,-1.94,-4.84,0,0,1,1
920,-8.25,-1.61,-4.59,0,0,1,1
940,-8.45,-1.54,-5.03,0,0,1,1
960,-8.44,-1.58,-5.14,0,0,1,1
980,-8.44,-1.51,-4.95,0,0,1,1
1000,-8.28,-1.41,-4.76,0,0,1,1
1020,-8.13,-1.3,-4.71,0,0,1,1
1040,-8.22,-1.16,-4.97,0,0,1,1
1060,-8.42,-1.28,-5.16,0,0,1,1
1080,-8.33,-1.47,-5.24,0,0,1,1
1100,-8.15,-1.71,-5.13,0,0,1,1
1120,-8.0,-1.72,-5.12,0,0,1,1
1140,-8.17,-1.64,-5.27,0,0,1,1
1160,-8.12,-1.73,-5.26,0,0,1,1
1180,-8.06,-1.89,-5.21,0,0,1,1
1200,-7.94,-2.02,-5.24,0,0,1,1
1220,-7.79,-2.04,-5.38,0,0,1,1
1240,-7.78,-2.02,-5.49,0,0,1,1
1260,-7.96,-1.85,-5.59,0,0,1,1
1280,-7.8,-1.92,-5.55,0,0,1,1
1300,-7.95,-1.54,-5.56,0,0,1,1
1320,-7.81,-1.05,-5.46,0,0,1,1
1340,-7.63,-1.16,-5.7,0,0,1,1
1360,-7.67,-1.34,-6.16,0,0,1,1
1380,-7.86,-1.15,-6.49,0,0,1,1
1400,-7.84,-0.53,-6.53,0,0,1,1
1420,-7.89,-0.25,-6.56,0,0,1,1
1440,-7.99,-0.2,-6.56,0,0,1,1
1460,-7.97,-0.3,-6.38,0,0,1,1
1480,-8.02,-0.21,-6.13,0,0,1,1
1500,-8.01,0.22,-6.26,0,0,1,1
1520,-8.1,0.69,-6.33,0,0,1,1
1540,-8.15,0.75,-6.28,0,0,1,1
1560,-8.0,0.51,-6.16,0,0,1,1
1580,-7.69,0.11,-6.25,0,0,1,1
1600,-7.6,-0.59,-6.26,0,0,1,1
1620,-7.43,-0.87,-6.41,0,0,1,1
1640,-7.58,-0.85,-6.56,0,0,1,1
1660,-7.97,-0.72,-6.71,0,0,1,1
1680,-8.01,-0.15,-6.64,0,0,1,1
1700,-7.89,0.17,-6.43,0,0,1,1
1720,-7.67,0.12,-6.1,0,0,1,1
1740,-7.33,-0.17,-5.68,0,0,1,1
1760,-7.34,-0.68,-5.97,0,0,1,1
1780,-7.43,-0.81,-6.67,0,0,1,1
1800,-7.46,-0.88,-7.07,0,0,1,1
1820,-7.83,-1.56,-7.02,0,0,1,1
1840,-7.71,-1.7,-6.19,0,0,1,1
1860,-7.87,-1.44,-5.64,0,0,1,1
1880,-7.73,-1.08,-5.2,0,0,1,1
1900,-7.94,-1.58,-6.04,0,0,1,1
1920,-8.07,-1.77,-5.88,0,0,1,1
1940,-8.34,-1.87,-5.26,0,0,1,1
1960,-8.29,-1.58,-4.38,0,0,1,1
1980,-7.67,-0.19,-3.46,0,0,1,1
1000,-8.28,-1.41,-4.76,0,0,1,2
1020,-8.13,-1.3,-4.71,0,0,1,2
