Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-8.18,-2.10,-4.91, 0
-8.22,-2.12,-4.98, 0
-8.18,-2.23,-5.02, 0
-8.22,-2.22,-4.96, 0
-8.17,-2.20,-4.92, 0
-8.20,-2.28,-4.90, 0
-8.19,-2.21,-4.95, 0
-8.21,-2.21,-4.93, 0
-8.23,-2.21,-4.93, 0
-8.20,-2.21,-4.95, 0
-8.15,-2.27,-4.94, 0
-8.20,-2.23,-4.93, 0
-8.17,-2.25,-4.94, 0
-8.14,-2.22,-4.88, 0
-8.17,-2.28,-4.90, 0
-8.27,-2.23,-4.96, 0
-8.28,-2.17,-4.82, 0
-8.26,-2.22,-4.87, 0
-8.25,-2.21,-4.82, 0
-8.28,-2.07,-4.82, 0
-8.32,-2.11,-4.84, 0
-8.15,-2.21,-4.75, 0
-8.13,-2.30,-4.70, 0
-8.14,-2.42,-4.77, 0
-8.17,-2.38,-4.88, 0
-8.27,-2.28,-4.93, 0
-8.22,-2.23,-4.93, 0
-8.25,-2.10,-4.76, 0
-8.37,-1.96,-4.89, 0
-8.27,-2.05,-4.96, 0
-8.19,-2.17,-4.88, 0
-8.30,-1.97,-4.96, 0
-8.41,-1.74,-5.02, 0
-8.42,-1.61,-4.88, 0
-8.38,-1.41,-4.92, 0
-8.48,-1.48,-4.98, 0
-8.32,-1.84,-4.91, 0
-8.12,-2.22,-4.72, 0
-8.11,-2.14,-4.79, 0
-8.30,-1.74,-5.04, 0
-8.52,-1.40,-5.02, 0
-8.42,-1.40,-4.90, 0
-8.27,-1.88,-4.84, 0
-8.15,-2.22,-4.80, 0
-8.10,-2.15,-4.85, 0
-8.08,-1.94,-4.84, 0
-8.25,-1.61,-4.59, 0
-8.45,-1.54,-5.03, 0
-8.44,-1.58,-5.14, 0
-8.44,-1.51,-4.95, 0
-8.28,-1.41,-4.76, 0
-8.13,-1.30,-4.71, 0
-8.22,-1.16,-4.97, 0
-8.42,-1.28,-5.16, 0
-8.33,-1.47,-5.24, 0
-8.15,-1.71,-5.13, 0
-8.00,-1.72,-5.12, 0
-8.17,-1.64,-5.27, 0
-8.12,-1.73,-5.26, 0
-8.06,-1.89,-5.21, 0
-7.94,-2.02,-5.24, 0
-7.79,-2.04,-5.38, 0
-7.78,-2.02,-5.49, 0
-7.96,-1.85,-5.59, 0
-7.80,-1.92,-5.55, 0
-7.95,-1.54,-5.56, 0
-7.81,-1.05,-5.46, 0
-7.63,-1.16,-5.70, 0
-7.67,-1.34,-6.16, 0
-7.86,-1.15,-6.49, 0
