Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-8.96,-1.00,-5.93, 0
-8.60,-0.11,-5.48, 0
-8.62,2.20,-4.49, 0
-9.81,4.15,-4.18, 0
-11.45,4.57,-4.50, 0
-11.54,3.77,-5.72, 0
-10.51,2.59,-6.06, 0
-9.06,2.38,-4.24, 0
-8.19,2.66,-2.52, 0
-7.97,1.56,-2.76, 0
-8.15,-0.08,-3.83, 0
-8.20,-0.90,-4.51, 0
-8.09,-0.49,-4.15, 0
-7.89,-0.01,-3.38, 0
-7.54,0.51,-3.30, 0
-7.90,0.36,-3.47, 0
-8.82,-0.17,-3.86, 0
-9.16,-0.70,-4.29, 0
-8.66,-1.36,-3.78, 0
-8.33,-0.93,-2.55, 0
-9.41,-1.26,-3.59, 0
-9.45,-0.38,-3.69, 0
-9.40,1.31,-2.99, 0
-8.62,1.71,-2.40, 0
-7.24,0.97,-3.70, 0
-9.18,0.50,-2.42, 0
-8.78,-0.06,-2.27, 0
-11.69,-0.18,-5.10, 0
-10.77,-1.63,-5.02, 0
-9.32,-1.98,-3.93, 0
-8.78,-1.60,-3.03, 0
-8.39,-0.91,-3.34, 0
-7.80,-0.77,-3.22, 0
-7.46,0.13,-2.89, 0
-8.13,-0.04,-3.93, 0
-8.73,-0.32,-4.17, 0
-8.68,-0.48,-4.25, 0
-9.28,-0.77,-5.28, 0
-9.58,-0.08,-5.25, 0
-9.46,-0.13,-4.93, 0
-8.80,-0.66,-3.79, 0
-9.26,0.38,-3.89, 0
-8.76,0.22,-3.82, 0
-8.28,-0.29,-4.25, 0
-8.49,-0.90,-4.52, 0
-8.95,-0.97,-5.10, 0
-8.71,-1.22,-5.01, 0
-7.83,-1.10,-3.98, 0
-9.00,0.51,-4.00, 0
-8.83,1.03,-4.39, 0
-8.58,0.66,-4.87, 0
-9.00,0.85,-5.10, 0
-8.85,0.64,-5.15, 0
-8.59,0.61,-4.87, 0
-8.39,0.04,-4.37, 0
-8.42,-0.31,-4.58, 0
-8.14,0.39,-5.22, 0
-8.16,-0.06,-5.08, 0
-8.36,-0.04,-5.16, 0
-9.00,0.41,-5.10, 0
-8.80,0.44,-5.31, 0
-8.23,0.04,-4.98, 0
-8.76,0.25,-5.60, 0
-8.48,0.51,-4.99, 0
-8.37,0.93,-4.56, 0
-8.58,0.99,-4.75, 0
-8.64,0.65,-5.36, 0
-19.62,0.91,3.43, 0
-7.57,-0.41,-5.24, 0
-8.27,-0.00,-5.65, 0
-8.39,0.47,-5.71, 0
-8.17,0.81,-5.45, 0
-8.53,0.97,-5.69, 0
-8.18,0.51,-5.88, 0
-7.81,0.27,-5.97, 0
-8.20,0.34,-6.00, 0
-7.98,0.28,-6.07, 0
-8.24,0.03,-6.66, 0
